building_number,center_x,center_y,area_pixels,label_id
1,42,22,718,1
2,82,22,587,2
3,187,26,2436,3
4,421,66,2252,4
5,408,0,1,5
6,850,13,301,6
7,907,3,107,7
8,1111,56,2920,8
9,1132,0,13,9
10,1213,55,2137,10
11,1313,17,818,11
12,1372,11,342,12
13,1422,10,537,13
14,1483,11,244,14
15,382,3,2,15
16,384,6,2,16
17,1020,75,5092,17
18,1476,7,2,18
19,381,11,1,19
20,1032,16,2,20
21,898,123,7419,21
22,1033,24,1,22
23,1438,70,2435,23
24,810,30,1,24
25,244,33,3,25
26,1373,51,550,26
27,22,57,593,27
28,29,35,1,28
29,42,35,1,29
30,1423,39,1,30
31,251,40,2,31
32,499,67,700,32
33,26,43,1,33
34,1322,107,4095,34
35,153,69,1044,35
36,3,56,1,36
37,75,80,494,37
38,1373,59,2,38
39,225,74,724,39
40,13,65,1,40
41,822,70,1,41
42,832,70,1,42
43,918,70,5,43
44,1420,76,1,44
45,98,90,299,45
46,25,93,694,46
47,1318,84,3,47
48,847,86,1,48
49,1421,86,1,49
50,431,89,1,50
51,68,90,2,51
52,217,105,256,52
53,433,95,1,53
54,1102,96,2,54
55,174,110,266,55
56,1101,105,6,56
57,986,106,1,57
58,97,232,6336,58
59,427,111,1,59
60,1102,112,1,60
61,1493,130,167,61
62,25,136,440,62
63,110,120,2,63
64,466,120,1,64
65,466,137,484,65
66,479,120,1,66
67,1452,142,948,67
68,761,219,7759,68
69,3,134,102,69
70,209,171,2939,70
71,940,127,1,71
72,464,131,6,72
73,1123,170,1210,73
74,467,136,2,74
75,37,140,4,75
76,1434,139,5,76
77,825,140,2,77
78,124,147,2,78
79,487,150,1,79
80,1248,170,739,80
81,70,154,2,81
82,112,154,1,82
83,445,154,1,83
84,54,178,1011,84
85,747,166,1,85
86,765,166,2,86
87,793,169,1,87
88,1414,193,606,88
89,47,181,1,89
90,117,188,1,90
91,778,202,289,91
92,839,192,2,92
93,34,211,915,93
94,396,210,393,94
95,891,195,1,95
96,940,194,2,96
97,1098,194,1,97
98,879,202,4,98
99,1221,257,7939,99
100,167,248,968,100
101,5,212,1,101
102,829,213,3,102
103,228,230,1289,103
104,131,216,1,104
105,919,216,1,105
106,63,222,1,106
107,1345,224,1,107
108,322,253,1487,108
109,795,229,2,109
110,1054,325,4477,110
111,801,230,2,111
112,1258,232,4,112
113,49,257,494,113
114,488,249,375,114
115,690,236,1,115
116,1260,239,5,116
117,1017,257,568,117
118,408,289,1933,118
119,857,242,1,119
120,300,245,12,120
121,488,247,3,121
122,862,354,16873,122
123,7,264,237,123
124,52,252,27,124
125,1366,249,1,125
126,1409,265,523,126
127,649,250,1,127
128,765,251,1,128
129,821,250,1,129
130,1099,252,1,130
131,744,257,1,131
132,34,258,1,132
133,742,258,1,133
134,219,275,1016,134
135,565,319,1790,135
136,123,264,1,136
137,368,290,509,137
138,937,266,2,138
139,675,295,1422,139
140,1295,268,2,140
141,1412,270,1,141
142,1414,271,1,142
143,104,275,1,143
144,456,340,2034,144
145,702,278,2,145
146,237,281,1,146
147,1412,280,1,147
148,367,283,1,148
149,884,284,2,149
150,1335,317,1572,150
151,620,312,558,151
152,1386,353,1383,152
153,215,415,5578,153
154,1121,291,4,154
155,1169,292,4,155
156,243,312,1696,156
157,373,293,1,157
158,748,296,1,158
159,1279,352,3514,159
160,301,301,1,160
161,560,302,5,161
162,809,301,3,162
163,117,303,1,163
164,900,303,1,164
165,958,303,1,165
166,1384,302,2,166
167,897,306,7,167
168,955,304,4,168
169,50,310,1,169
170,1172,354,3693,170
171,303,312,1,171
172,580,313,3,172
173,420,314,2,173
174,412,317,1,174
175,1473,358,888,175
176,28,332,343,176
177,388,320,1,177
178,58,388,3720,178
179,548,331,3,179
180,234,357,1961,180
181,307,332,1,181
182,974,333,3,182
183,981,332,9,183
184,926,336,4,184
185,711,503,14206,185
186,767,341,10,186
187,824,340,2,187
188,1063,343,1,188
189,1134,344,1,189
190,808,347,1,190
191,1135,349,1,191
192,718,351,2,192
193,973,354,9,193
194,112,402,2339,194
195,680,354,2,195
196,649,356,2,196
197,1135,356,2,197
198,1220,356,1,198
199,748,358,1,199
200,854,362,4,200
201,790,363,1,201
202,1063,362,1,202
203,1206,363,1,203
204,126,366,1,204
205,1067,366,3,205
206,1087,369,1,206
207,553,496,6975,207
208,639,372,1,208
209,733,373,1,209
210,1174,373,4,210
211,1270,375,3,211
212,674,389,156,212
213,729,377,1,213
214,857,377,1,214
215,158,382,23,215
216,739,385,1,216
217,1070,483,6619,217
