building_number,center_x,center_y,area_pixels,label_id
1,793,6,151,1
2,865,54,1130,2
3,1243,4,110,3
4,1330,15,390,4
5,1405,28,1768,5
6,1458,0,1,6
7,1475,3,46,7
8,830,55,1202,8
9,1300,28,435,9
10,1329,18,2,10
11,1431,27,5,11
12,1056,226,7059,12
13,1309,37,1,13
14,1332,45,235,14
15,1258,103,1712,15
16,1314,75,298,16
17,1364,106,1811,17
18,1282,72,1,18
19,1314,78,1,19
20,1287,89,5,20
21,1338,88,1,21
22,1261,100,23,22
23,1210,100,1,23
24,1334,107,1,24
25,1015,154,1034,25
26,1149,169,2486,26
27,1289,111,1,27
28,1331,111,1,28
29,1211,156,1428,29
30,1240,115,1,30
31,839,126,328,31
32,1214,118,3,32
33,1379,126,342,33
34,1252,119,1,34
35,1384,128,6,35
36,1091,167,784,36
37,1262,136,2,37
38,1327,144,1,38
39,1269,211,2982,39
40,1359,148,5,40
41,1468,220,2021,41
42,1237,150,2,42
43,1241,162,4,43
44,1290,163,2,44
45,1478,163,1,45
46,1466,175,1,46
47,1140,178,2,47
48,1149,178,1,48
49,1298,181,1,49
50,1174,182,3,50
51,1169,187,1,51
52,1302,190,1,52
53,1196,208,150,53
54,1259,194,1,54
55,1325,195,1,55
56,1223,200,1,56
57,1112,212,1,57
58,1480,213,1,58
59,1307,216,1,59
60,1169,221,1,60
61,987,283,1326,61
62,1431,281,1872,62
63,1126,233,2,63
64,1289,233,1,64
65,1089,240,2,65
66,1182,248,1,66
67,1186,266,358,67
68,1425,248,1,68
69,1273,252,1,69
70,1367,254,1,70
71,1220,256,1,71
72,1470,260,1,72
73,1192,262,1,73
74,1440,263,1,74
75,1131,309,1244,75
76,1052,275,1,76
77,1154,275,1,77
78,1231,279,1,78
79,1244,279,1,79
80,1458,278,1,80
81,1482,279,1,81
82,1385,280,1,82
83,1348,325,1359,83
84,1427,281,3,84
85,1203,303,445,85
86,1217,282,1,86
87,1410,286,1,87
88,996,290,4,88
89,1207,289,1,89
90,1471,288,1,90
91,986,292,4,91
92,1366,293,1,92
93,1446,292,2,93
94,882,415,2632,94
95,1421,303,1,95
96,1388,353,1538,96
97,1212,305,1,97
98,1442,306,1,98
99,1207,311,1,99
100,1090,316,1,100
101,1329,317,1,101
102,1336,316,1,102
103,1358,318,2,103
104,1047,322,1,104
105,1343,327,36,105
106,1024,330,48,106
107,1204,324,1,107
108,1332,333,28,108
109,1451,331,1,109
110,1416,394,2956,110
111,1464,331,1,111
112,1123,388,1683,112
113,1311,332,1,113
114,1498,332,1,114
115,1357,338,1,115
116,982,386,1349,116
117,974,340,1,117
118,1421,345,1,118
119,1050,346,1,119
120,1094,353,74,120
121,1445,347,1,121
122,1069,383,886,122
123,1423,354,1,123
124,1471,354,1,124
125,902,356,1,125
126,1433,359,1,126
127,1074,360,1,127
128,1279,363,1,128
129,1284,375,252,129
130,1292,363,1,130
131,1434,364,1,131
132,1391,366,1,132
133,1349,369,1,133
134,1058,371,2,134
135,1316,371,1,135
136,955,375,1,136
137,1411,375,1,137
138,1480,376,1,138
139,1258,383,1,139
140,1236,470,4916,140
141,1281,383,1,141
142,1491,397,214,142
143,1379,386,1,143
144,965,389,1,144
145,1498,391,2,145
146,1365,392,1,146
147,1305,395,1,147
148,949,422,774,148
149,1065,403,2,149
150,1384,402,2,150
151,1441,408,1,151
152,1454,408,1,152
153,1441,492,4158,153
154,1468,408,1,154
155,925,412,1,155
156,1048,443,595,156
157,1482,423,1,157
158,1455,424,2,158
159,1332,429,1,159
160,1298,509,3362,160
161,1346,429,1,161
162,930,483,2513,162
163,1349,431,2,163
164,1414,431,1,164
165,1320,435,1,165
166,1323,438,1,166
167,477,464,702,167
168,1423,445,1,168
169,1339,458,116,169
170,1358,448,28,170
171,1498,453,2,171
172,1386,456,1,172
173,1484,467,1,173
174,1412,468,1,174
175,963,470,1,175
176,1024,482,314,176
177,1275,475,1,177
178,1333,474,1,178
179,826,484,212,179
180,1462,480,16,180
181,942,483,1,181
182,1365,486,1,182
183,1349,489,1,183
184,1457,491,4,184
185,1465,491,1,185
186,1376,493,3,186
187,942,498,1,187
188,570,509,241,188
189,996,528,796,189
190,49,538,1570,190
191,954,510,1,191
192,969,516,1,192
193,1402,563,1528,193
194,1353,521,1,194
195,1366,521,1,195
196,68,532,2,196
197,216,560,3115,197
198,1337,535,1,198
199,1124,573,973,199
200,724,549,203,200
201,730,540,1,201
202,1258,602,3242,202
203,11,562,294,203
204,1081,565,353,204
205,1373,590,1285,205
206,1198,561,1,206
207,899,593,644,207
208,1461,564,1,208
209,211,568,1,209
210,286,569,1,210
211,1145,572,1,211
212,1351,574,1,212
213,105,609,4624,213
214,1165,578,1,214
215,891,581,1,215
216,1343,581,2,216
217,1074,582,1,217
218,1209,611,1250,218
219,1349,584,1,219
220,292,625,2216,220
221,1487,598,261,221
222,812,665,3055,222
223,830,588,1,223
224,1376,588,1,224
225,1049,656,2802,225
226,1401,600,2,226
227,229,602,3,227
228,664,607,1,228
229,670,617,210,229
230,677,607,1,230
231,1284,606,2,231
232,154,610,7,232
233,1096,726,4638,233
234,562,632,488,234
235,185,614,3,235
236,330,639,1022,236
237,1433,646,1731,237
238,1486,636,293,238
239,715,637,237,239
240,1282,636,55,240
241,122,668,5749,241
242,1295,640,51,242
243,850,636,1,243
244,1155,750,4203,244
245,868,682,1130,245
246,191,642,2,246
247,877,642,1,247
248,890,642,1,248
249,1079,647,1,249
250,1211,650,2,250
251,1176,652,1,251
252,1371,786,3782,252
253,891,659,1,253
254,1212,770,4023,254
255,885,660,3,255
256,1306,660,1,256
257,801,662,2,257
258,816,663,12,258
259,803,664,1,259
260,1245,668,2,260
261,792,674,1,261
262,1262,774,2117,262
263,1278,811,3198,263
264,1443,730,1111,264
265,1326,814,2979,265
266,1414,691,1,266
267,801,693,2,267
268,1488,709,247,268
269,1457,703,4,269
270,1023,705,1,270
271,1155,706,1,271
272,1243,710,2,272
273,1249,716,1,273
274,1281,716,2,274
275,1313,716,2,275
276,1324,716,2,276
277,1359,716,1,277
278,778,719,2,278
279,774,720,2,279
280,1475,740,410,280
281,1289,724,2,281
282,1211,728,1,282
283,838,733,1,283
284,1086,733,1,284
285,1472,735,1,285
286,1217,739,1,286
287,1203,748,1,287
288,760,782,678,288
289,1199,759,2,289
290,1208,759,2,290
291,782,771,273,291
292,1350,761,1,292
293,1221,764,3,293
294,1440,762,2,294
295,1472,783,618,295
296,1219,771,1,296
297,1259,772,2,297
298,1268,773,1,298
299,1345,774,2,299
300,1086,777,10,300
301,1220,783,2,301
302,1198,788,5,302
303,1188,789,1,303
304,1386,882,2036,304
305,1090,795,1,305
306,1119,797,2,306
307,1207,799,3,307
308,1247,800,2,308
309,886,816,289,309
310,1465,825,777,310
311,735,844,1081,311
312,483,819,222,312
313,488,810,1,313
314,1322,811,1,314
315,916,824,265,315
316,1175,819,2,316
317,1044,820,1,317
318,1237,826,2,318
319,874,840,323,319
320,732,831,1,320
321,972,910,2796,321
322,905,851,285,322
323,978,848,2,323
324,1173,850,2,324
325,1226,854,2,325
326,1305,855,2,326
327,856,868,434,327
328,1314,856,1,328
329,1260,861,1,329
330,1450,944,1047,330
331,1019,923,1502,331
332,1167,871,4,332
333,913,891,702,333
334,1175,874,4,334
335,1048,891,314,335
336,1163,879,2,336
337,1083,902,346,337
338,1211,889,2,338
339,695,912,512,339
340,846,904,542,340
341,925,892,1,341
342,1472,893,1,342
343,1246,894,1,343
344,660,913,373,344
345,1111,910,282,345
346,1384,899,2,346
347,1154,924,917,347
348,902,921,667,348
349,1372,904,1,349
350,1490,945,349,350
351,1464,909,1,351
352,831,937,670,352
353,1070,935,344,353
354,1374,921,1,354
355,1458,921,1,355
356,1098,941,383,356
357,1284,925,2,357
358,1188,1050,5495,358
359,1363,926,1,359
360,598,937,249,360
361,1323,932,1,361
362,896,961,1088,362
363,1142,1016,1693,363
364,656,1010,1878,364
365,1022,946,3,365
366,1248,946,3,366
367,1064,952,3,367
368,1210,951,2,368
369,1070,973,670,369
370,1131,953,1,370
371,1018,955,2,371
372,1121,981,573,372
373,812,971,711,373
374,1249,958,2,374
375,828,974,26,375
376,1130,969,2,376
377,1298,982,319,377
378,942,1013,2193,378
379,1416,973,1,379
380,63,982,192,380
381,790,1020,1877,381
382,1333,1095,5155,382
383,1050,1010,600,383
384,1249,1101,4485,384
385,1095,1018,299,385
386,877,1031,999,386
387,1264,1009,2,387
388,1390,1011,1,388
389,1391,1012,2,389
390,1449,1065,2685,390
391,844,1018,1,391
392,1351,1019,2,392
393,1182,1025,1,393
394,1439,1032,1,394
395,877,1068,1319,395
396,1167,1036,1,396
397,1420,1036,1,397
398,1069,1058,648,398
399,1176,1040,2,399
400,1341,1041,1,400
401,1331,1043,2,401
402,1462,1044,2,402
403,989,1070,998,403
404,930,1173,16224,404
405,1369,1053,2,405
406,1482,1054,2,406
407,631,1058,2,407
408,1406,1063,1,408
409,1497,1068,28,409
410,1118,1067,1,410
411,1056,1093,621,411
412,1482,1075,4,412
413,982,1103,961,413
414,1463,1086,2,414
415,1459,1097,2,415
416,1435,1150,3148,416
417,1462,1098,1,417
418,1464,1099,1,418
419,1100,1115,398,419
420,1485,1102,1,420
421,1057,1133,964,421
422,607,1138,454,422
423,905,1122,1,423
424,952,1139,2,424
425,1372,1142,1,425
426,1384,1145,2,426
427,1461,1145,4,427
