building_number,center_x,center_y,area_pixels,label_id
1,17,20,613,1
2,330,8,182,2
3,333,0,2,3
4,383,34,1603,4
5,369,0,2,5
6,383,0,1,6
7,388,1,9,7
8,677,11,246,8
9,709,15,414,9
10,826,63,8152,10
11,975,12,500,11
12,982,0,5,12
13,1147,79,5971,13
14,1150,0,1,14
15,1214,0,3,15
16,1325,134,19544,16
17,1257,0,1,17
18,1332,10,126,18
19,1333,0,1,19
20,1444,22,552,20
21,1479,23,275,21
22,1494,9,99,22
23,1304,7,2,23
24,364,8,1,24
25,344,12,1,25
26,754,17,1,26
27,227,27,203,27
28,405,20,1,28
29,1199,24,18,29
30,907,30,4,30
31,1258,30,1,31
32,1397,34,17,32
33,19,32,1,33
34,1262,33,1,34
35,1357,33,1,35
36,1117,36,3,36
37,1256,36,1,37
38,251,83,985,38
39,1116,41,1,39
40,1174,41,1,40
41,1172,42,1,41
42,1180,43,1,42
43,945,45,1,43
44,8,60,223,44
45,981,70,491,45
46,374,60,1,46
47,838,63,4,47
48,1312,66,28,48
49,420,150,4520,49
50,1302,68,12,50
51,436,79,335,51
52,930,68,1,52
53,978,69,2,53
54,1335,68,2,54
55,1404,70,1,55
56,1427,71,1,56
57,1440,71,1,57
58,1230,76,24,58
59,237,75,1,59
60,578,147,5178,60
61,1396,80,2,61
62,1460,83,1,62
63,1251,84,1,63
64,1253,85,1,64
65,1290,85,1,65
66,268,87,2,66
67,962,183,7130,67
68,1364,94,9,68
69,263,97,3,69
70,720,113,312,70
71,809,100,3,71
72,932,101,5,72
73,532,103,2,73
74,935,106,17,74
75,1380,102,3,75
76,552,105,1,76
77,548,109,1,77
78,723,110,3,78
79,927,110,1,79
80,253,112,3,80
81,1101,112,1,81
82,453,119,39,82
83,719,117,2,83
84,1489,131,229,84
85,544,119,4,85
86,546,122,1,86
87,1338,122,1,87
88,486,125,2,88
89,950,125,1,89
90,31,142,660,90
91,822,147,807,91
92,1026,129,54,92
93,1097,130,1,93
94,1376,134,14,94
95,1489,132,1,95
96,991,137,3,96
97,424,139,3,97
98,861,151,272,98
99,1345,143,4,99
100,607,145,2,100
101,509,192,3387,101
102,794,177,1138,102
103,1338,147,2,103
104,594,150,8,104
105,629,151,1,105
106,1137,151,2,106
107,389,153,2,107
108,631,153,7,108
109,1059,178,741,109
110,656,158,2,110
111,1301,162,47,111
112,1323,159,1,112
113,441,160,1,113
114,1138,162,3,114
115,153,185,3924,115
116,415,163,2,116
117,710,174,323,117
118,756,164,2,118
119,370,168,1,119
120,505,168,2,120
121,1106,168,2,121
122,1184,169,14,122
123,1461,233,2373,123
124,438,175,1,124
125,304,222,1411,125
126,870,190,568,126
127,1257,176,2,127
128,79,178,2,128
129,508,180,1,129
130,1185,181,7,130
131,470,182,1,131
132,258,187,2,132
133,886,188,2,133
134,1014,189,2,134
135,1292,189,4,135
136,568,190,4,136
137,1462,191,1,137
138,1467,194,1,138
139,433,197,2,139
140,1215,196,1,140
141,1404,196,1,141
142,729,212,304,142
143,391,201,5,143
144,1338,206,22,144
145,1365,205,4,145
146,1484,204,2,146
147,1394,206,1,147
148,429,209,2,148
149,1080,263,1461,149
150,664,260,2644,150
151,1334,217,17,151
152,1224,336,7162,152
153,902,223,2,153
154,523,268,2446,154
155,940,245,447,155
156,1327,228,2,156
157,731,246,360,157
158,1403,234,6,158
159,1408,235,3,159
160,1168,237,3,160
161,1166,238,1,161
162,259,255,318,162
163,1053,253,253,163
164,1096,245,1,164
165,294,246,2,165
166,1378,318,6395,166
167,612,304,1855,167
168,684,258,1,168
169,1166,264,6,169
170,286,264,1,170
171,1432,267,3,171
172,1021,300,709,172
173,920,284,284,173
174,144,431,6591,174
175,1150,278,3,175
176,1481,288,293,176
177,1297,281,9,177
178,893,304,542,178
179,1148,288,34,179
180,755,319,680,180
181,991,305,438,181
182,1129,303,38,182
183,1064,301,13,183
184,934,329,538,184
185,639,310,1,185
186,1163,366,3258,186
187,808,342,558,187
188,1053,337,302,188
189,1290,327,1,189
190,994,354,949,190
191,1218,334,2,191
192,769,360,242,192
193,919,370,299,193
194,1225,358,1,194
195,1425,414,4039,195
196,962,383,274,196
197,987,435,3486,197
198,321,439,3288,198
199,1145,471,5716,199
200,1352,527,6036,200
201,139,401,1,201
202,263,415,2,202
203,656,474,1710,203
204,798,604,10429,204
205,119,435,1,205
206,961,511,4999,206
207,1458,438,3,207
208,866,443,2,208
209,1239,444,1,209
210,1200,446,1,210
211,1237,459,1,211
212,1419,510,4306,212
213,338,462,2,213
214,1149,467,2,214
215,87,469,2,215
216,1144,469,1,216
217,105,475,1,217
218,1229,474,1,218
219,1113,478,4,219
220,78,483,1,220
221,1110,482,5,221
222,1451,487,1,222
223,1493,500,121,223
224,1153,627,5189,224
225,910,498,5,225
226,911,504,1,226
227,1173,519,1,227
228,915,613,8490,228
229,1145,521,1,229
230,450,542,584,230
231,229,560,948,231
232,669,544,288,232
233,987,539,1,233
234,29,557,783,234
235,1187,544,4,235
236,1204,544,3,236
237,92,545,1,237
238,565,601,6535,238
239,23,553,1,239
240,1288,556,43,240
241,1030,555,6,241
242,24,558,3,242
243,1071,580,450,243
244,954,569,1,244
245,43,623,1344,245
246,939,578,21,246
247,19,595,577,247
248,916,586,1,248
249,1311,621,1911,249
250,687,600,19,250
251,693,602,1,251
252,1454,623,554,252
253,566,607,1,253
254,2,609,1,254
255,1412,617,241,255
256,1160,611,1,256
257,684,615,30,257
258,499,618,12,258
259,577,623,1,259
260,691,622,2,260
261,48,625,1,261
262,506,626,3,262
263,1466,629,4,263
264,1337,678,4046,264
265,1035,645,403,265
266,626,636,2,266
267,1480,655,461,267
268,511,645,3,268
269,1459,644,1,269
270,1473,644,1,270
271,897,646,1,271
272,285,673,645,272
273,553,687,1779,273
274,781,724,7047,274
275,739,649,5,275
276,828,649,3,276
277,1106,650,2,277
278,604,666,542,278
279,655,656,2,279
280,855,661,1,280
281,652,664,1,281
282,1111,664,2,282
283,156,703,1145,283
284,664,668,2,284
285,874,669,1,285
286,1110,668,2,286
287,14,736,1357,287
288,1096,774,7714,288
289,1108,677,1,289
290,836,679,1,290
291,894,681,2,291
292,559,684,1,292
293,478,776,4093,293
294,1089,687,2,294
295,607,691,1,295
296,902,690,1,296
297,717,693,4,297
298,902,693,9,298
299,1147,692,1,299
300,1103,697,1,300
301,1146,698,1,301
302,752,711,1,302
303,1159,710,2,303
304,197,753,1421,304
305,546,786,3492,305
306,743,718,1,306
307,705,773,4850,307
308,548,726,1,308
309,1421,777,1984,309
310,889,733,17,310
311,1000,731,5,311
312,77,750,500,312
313,1009,737,2,313
314,430,762,401,314
315,670,747,2,315
316,0,756,21,316
317,1221,750,1,317
318,729,758,38,318
319,552,755,1,319
320,1430,757,1,320
321,1257,759,2,321
322,1418,760,2,322
323,1270,762,2,323
324,537,764,2,324
325,577,766,2,325
326,1266,769,20,326
327,1275,768,1,327
328,1106,771,1,328
329,1466,795,1089,329
330,644,778,2,330
331,645,787,43,331
332,570,782,2,332
333,652,782,1,333
334,657,783,2,334
335,1245,783,4,335
336,314,798,629,336
337,1024,784,2,337
338,1089,785,1,338
339,1104,786,4,339
340,457,787,3,340
341,729,841,7902,341
342,1015,788,1,342
343,684,791,3,343
344,176,812,579,344
345,698,795,1,345
346,1093,866,4032,346
347,564,796,1,347
348,825,797,1,348
349,838,797,1,349
350,1252,803,1,350
351,1328,807,1,351
352,1326,815,93,352
353,1393,806,2,353
354,1436,806,1,354
355,1345,811,31,355
356,1388,811,2,356
357,11,836,432,357
358,1399,813,3,358
359,625,815,1,359
360,627,823,50,360
361,1348,821,31,361
362,1394,817,2,362
363,883,826,55,363
364,894,822,21,364
365,1234,821,1,365
366,1416,821,1,366
367,1466,847,1002,367
368,763,823,1,368
369,1498,827,16,369
370,5,825,1,370
371,600,825,1,371
372,842,824,1,372
373,1411,824,2,373
374,1306,827,1,374
375,1267,966,7291,375
376,1324,832,26,376
377,1389,853,1028,377
378,845,839,13,378
379,997,834,1,379
380,1437,834,1,380
381,1450,841,1,381
382,964,864,636,382
383,1290,842,1,383
384,502,844,2,384
385,1455,844,1,385
386,583,848,24,386
387,758,846,1,387
388,1384,847,3,388
389,1499,846,1,389
390,610,853,21,390
391,796,855,17,391
392,622,855,20,392
393,1471,852,2,393
394,943,857,2,394
395,1398,857,2,395
396,769,863,17,396
397,1278,859,1,397
398,1292,859,2,398
399,1346,869,285,399
400,656,860,1,400
401,1489,863,18,401
402,744,870,17,402
403,685,868,3,403
404,880,937,5060,404
405,1294,871,1,405
406,1307,871,1,406
407,719,877,35,407
408,985,872,2,408
409,1279,874,5,409
410,899,877,1,410
411,685,879,1,411
412,710,882,15,412
413,1421,911,1315,413
414,876,880,4,414
415,1287,880,2,415
416,1267,884,23,416
417,1044,973,3335,417
418,1379,899,79,418
419,525,923,641,419
420,1071,894,2,420
421,419,913,259,421
422,1269,908,92,422
423,106,942,1293,423
424,540,983,2612,424
425,1424,981,3567,425
426,1385,911,21,426
427,1398,917,80,427
428,751,984,4313,428
429,996,916,21,429
430,1252,914,2,430
431,1326,914,1,431
432,1369,915,1,432
433,1126,951,772,433
434,1342,920,1,434
435,1321,924,8,435
436,846,925,6,436
437,945,925,1,437
438,1441,924,1,438
439,816,927,1,439
440,818,926,2,440
441,1032,926,1,441
442,1004,928,1,442
443,835,931,7,443
444,843,936,4,444
445,467,1007,1787,445
446,934,937,1,446
447,1392,938,1,447
448,1405,938,1,448
449,927,942,2,449
450,688,948,54,450
451,852,945,1,451
452,876,945,2,452
453,1031,946,38,453
454,933,950,3,454
455,945,950,1,455
456,1011,951,3,456
457,1326,951,7,457
458,718,956,6,458
459,1004,957,5,459
460,1297,957,5,460
461,894,960,4,461
462,1325,959,2,462
463,1382,959,2,463
464,1427,958,2,464
465,697,961,2,465
466,946,960,1,466
467,948,960,1,467
468,1015,960,4,468
469,1294,961,1,469
470,938,962,1,470
471,111,965,1,471
472,697,967,2,472
473,770,969,1,473
474,1019,968,1,474
475,1317,970,11,475
476,1322,969,2,476
477,744,971,1,477
478,880,970,2,478
479,1013,971,1,479
480,727,976,49,480
481,746,974,3,481
482,1085,986,146,482
483,965,975,2,483
484,1253,989,50,484
485,743,984,1,485
486,802,984,2,486
487,777,987,1,487
488,757,988,1,488
489,779,990,3,489
490,1374,989,3,490
491,29,1012,472,491
492,961,990,2,492
493,1261,997,26,493
494,777,997,1,494
495,955,999,9,495
496,1083,1001,1,496
497,1384,1071,4208,497
498,808,1002,2,498
499,1401,1002,3,499
500,811,1005,2,500
501,966,1004,2,501
502,1223,1004,2,502
503,95,1073,1527,503
504,788,1006,1,504
505,939,1006,3,505
506,1306,1006,5,506
507,1326,1007,1,507
508,808,1015,1,508
509,939,1015,1,509
510,456,1019,18,510
511,821,1019,1,511
512,1093,1018,3,512
513,1438,1018,2,513
514,995,1020,2,514
515,806,1025,1,515
516,1452,1024,3,516
517,984,1029,1,517
518,1212,1029,1,518
519,869,1034,3,519
520,1079,1037,42,520
521,890,1035,1,521
522,1486,1048,139,522
523,1480,1036,1,523
524,1482,1037,1,524
525,1242,1038,1,525
526,1498,1041,8,526
527,1008,1040,2,527
528,1484,1040,1,528
529,113,1045,1,529
530,1494,1044,2,530
531,449,1048,1,531
532,37,1135,3647,532
533,1192,1091,2555,533
534,94,1054,3,534
535,97,1054,1,535
536,440,1057,2,536
537,1439,1062,1,537
538,1083,1066,1,538
539,71,1075,1,539
540,1327,1077,2,540
541,116,1078,1,541
542,98,1082,1,542
543,1345,1085,1,543
544,1460,1087,1,544
545,0,1090,3,545
546,1266,1089,1,546
547,1356,1091,3,547
548,83,1094,2,548
549,85,1103,1,549
550,1241,1136,2049,550
551,1366,1107,1,551
552,89,1112,1,552
553,1347,1112,1,553
554,1357,1114,2,554
555,92,1119,2,555
556,1352,1119,1,556
557,1374,1206,10925,557
558,1211,1124,7,558
559,1318,1122,1,559
560,1311,1126,2,560
561,1339,1129,2,561
562,144,1189,1612,562
563,1313,1134,1,563
564,1482,1135,1,564
565,116,1136,1,565
566,1174,1160,334,566
567,1434,1163,2,567
568,1187,1178,1,568
569,1373,1180,6,569
570,1367,1180,2,570
571,140,1186,3,571
572,1212,1188,1,572
573,1225,1188,1,573
574,1329,1195,2,574
575,1421,1201,1,575
576,109,1207,2,576
577,1254,1216,1,577
578,1261,1217,1,578
579,38,1250,806,579
580,1250,1223,4,580
581,1163,1224,1,581
582,1161,1274,1020,582
583,1279,1225,1,583
584,1412,1234,70,584
585,1451,1224,1,585
586,174,1227,1,586
587,1363,1226,2,587
588,1489,1226,1,588
589,1350,1229,2,589
590,1490,1229,9,590
591,1473,1233,4,591
592,1306,1244,1,592
593,1426,1250,6,593
594,1354,1254,38,594
595,1310,1255,1,595
596,1237,1258,1,596
597,1264,1260,2,597
598,1254,1264,1,598
599,1282,1265,1,599
600,1370,1273,53,600
601,1176,1267,1,601
602,1340,1279,20,602
603,1268,1291,1,603
604,1149,1292,3,604
605,1490,1311,205,605
606,1131,1307,1,606
607,1144,1307,1,607
608,1400,1348,1823,608
609,76,1392,1145,609
610,1461,1327,1,610
611,1015,1350,396,611
612,1428,1343,2,612
613,1454,1342,1,613
614,1460,1380,806,614
615,1429,1347,1,615
616,1431,1351,2,616
617,1307,1451,1128,617
618,1323,1425,1,618
619,1336,1425,1,619
620,1255,1452,307,620
621,1487,1456,285,621
622,1339,1456,4,622
623,1330,1465,2,623
624,1415,1484,461,624
625,1298,1487,7,625
626,1298,1495,68,626
627,1392,1494,3,627
628,1285,1499,2,628
629,1310,1499,1,629
630,1403,1499,2,630
